"Topic","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","Answer","Explanation"
"Computational Thinking","What is decomposition?","Breaking problems into smaller parts","Finding patterns","Creating algorithms","Testing solutions","A","It means dividing a complex problem into manageable pieces"
"Computational Thinking","Which skill identifies similarities?","Abstraction","Pattern recognition","Algorithm design","Debugging","B","Pattern recognition finds similarities"
"Computational Thinking","What is abstraction?","Ignoring details","Adding details","Simplifying by focusing on important info","Testing code","C","Abstraction focuses on key details only"
"Computational Thinking","Algorithm means?","Step-by-step solution","Random guess","Loop statement","Variable","A","Algorithm is a sequence of steps"
"Computational Thinking","Debugging is?","Writing code","Fixing errors","Running code","Compiling","B","Debugging means correcting mistakes"

"Modular Programming","What is modular programming?","Dividing code into modules","Writing long code","Using one function","Ignoring errors","A","It splits programs into reusable parts"
"Modular Programming","Module means?","Whole program","Small independent part","Variable","Loop","B","Modules are small sections of code"
"Modular Programming","Advantage of modularity?","Harder debugging","Easier maintenance","Longer code","More errors","B","Modules simplify maintenance"
"Modular Programming","Reusability means?","Rewrite code","Reuse code","Delete code","Ignore code","B","Modules can be reused"
"Modular Programming","Encapsulation is?","Hiding details","Showing all code","Deleting functions","Compiling","A","Encapsulation hides complexity"

"Selection Structure","Selection structure uses?","If statements","Loops","Arrays","Functions","A","It uses decision-making statements"
"Selection Structure","If-else is used for?","Repeating","Deciding","Storing","Calculating","B","It handles conditions"
"Selection Structure","Condition must be?","True/False","Integer","String","Float","A","Conditions evaluate to boolean"
"Selection Structure","Switch statement is?","Loop","Selection","Array","Function","B","Switch is a selection structure"
"Selection Structure","Else runs when?","Condition true","Condition false","Always","Never","B","Else runs when condition fails"

"IDE","IDE stands for?","Integrated Development Environment","Internal Data Engine","Input Device Editor","Internet Data Exchange","A","Correct expansion"
"IDE","IDE is used for?","Gaming","Programming","Drawing","Music","B","Used for coding"
"IDE","Example of IDE?","Photoshop","PyCharm","Word","Excel","B","PyCharm is an IDE"
"IDE","Feature of IDE?","Compiler only","Editor+Debugger+Compiler","Keyboard","Mouse","B","IDE includes tools"
"IDE","Debugger helps to?","Write code","Find errors","Delete files","Compile","B","Debugger finds bugs"

"Libraries & Functions","Library is?","Collection of functions","Single variable","Loop","Condition","A","Library contains reusable code"
"Libraries & Functions","Predefined function is?","User-made","Built-in","Random","Loop","B","Built-in functions exist already"
"Libraries & Functions","Example of predefined function?","print()","loop()","if()","var","A","print is built-in"
"Libraries & Functions","Import keyword does?","Deletes code","Adds library","Runs loop","Stops program","B","Import loads libraries"
"Libraries & Functions","Math library used for?","Strings","Numbers","Files","Images","B","Math handles numbers"

"APA Citation","APA is?","Citation style","Programming language","IDE","Library","A","APA is referencing style"
"APA Citation","Why cite code?","Avoid plagiarism","Add errors","Make code long","Ignore sources","A","Citation gives credit"
"APA Citation","APA includes?","Author","Year","Title","All of these","D","All are needed"
"APA Citation","Plagiarism means?","Copying without credit","Writing code","Debugging","Testing","A","Plagiarism is unethical copying"
"APA Citation","Reference list is?","List of sources","List of variables","List of loops","List of errors","A","It shows sources used"

"Array","Array stores?","Single value","Multiple values","Functions","Loops","B","Array holds many values"
"Array","Index starts at?","1","0","2","-1","B","Most languages start at 0"
"Array","Array type?","Homogeneous","Heterogeneous","None","Basic","A","Same data type"
"Array","Access element using?","Index","Loop","Function","Condition","A","Index is used"
"Array","Length means?","Size of array","Value","Index","Type","A","Length is number of elements"

"Multi-dimensional Array","2D array is?","Table","Single value","Loop","Function","A","2D arrays are like tables"
"Multi-dimensional Array","Rows and columns form?","Matrix","Loop","Variable","Function","A","Matrix structure"
"Multi-dimensional Array","Access element?","arr[i][j]","arr(i)","arr{}","arr[]","A","Uses two indices"
"Multi-dimensional Array","3D array adds?","Depth","Height","Width","Color","A","3rd dimension is depth"
"Multi-dimensional Array","Use of 2D array?","Game board","String","Loop","Condition","A","Common example"

"Functions","Function is?","Block of code","Variable","Loop","Array","A","Function performs task"
"Functions","Return keyword does?","Outputs value","Loops","Stores variable","Stops code","A","Returns result"
"Functions","Parameter is?","Input","Output","Loop","Array","A","Input to function"
"Functions","Function call means?","Run function","Write function","Delete function","Ignore function","A","Calling executes it"
"Functions","Advantage?","Reuse code","Long code","Errors","Slow","A","Functions improve reuse"

"Data Representation","Primitive type?","int","float","char","string","All of these","D","All are primitive"
"Data Representation","Compound data?","Array","int","char","float","A","Array is compound"
"Data Representation","String stores?","Numbers","Text","Boolean","Array","B","String holds text"
"Data Representation","Boolean is?","True/False","Number","String","Array","A","Boolean values"
"Data Representation","Float stores?","Integers","Decimals","Text","Arrays","B","Float holds decimals"

"Control Structures","Control structures manage?","Flow","Color","Size","Shape","A","Controls execution"
"Control Structures","Types include?","Sequence","Selection","Iteration","All","D","All are types"
"Control Structures","Sequence means?","Order of execution","Loop","Condition","Function","A","Steps in order"
"Control Structures","Selection uses?","if","loop","array","function","A","If statements"
"Control Structures","Iteration means?","Repeat","Stop","Decide","Store","A","Iteration repeats"

"Iterative Structures","Loop repeats?","Once","Multiple times","Never","Random","B","Loops repeat actions"
"Iterative Structures","For loop used when?","Known iterations","Unknown","Condition only","Random","A","For is fixed count"
"Iterative Structures","While loop?","Condition-based","Fixed count","Array","Function","A","Depends on condition"
"Iterative Structures","Infinite loop?","Ends","Never ends","Stops early","Random","B","Never stops"
"Iterative Structures","Break does?","Exit loop","Start loop","Repeat loop","Ignore","A","Break exits"

"Libraries & Methods","Method is?","Function in object","Variable","Loop","Array","A","Method belongs to object"
"Libraries & Methods","Common library?","math","loop","var","if","A","math is common"
"Libraries & Methods","len() gives?","Length","value","index","type","A","Length of data"
"Libraries & Methods","upper() does?","Uppercase","Lowercase","Delete","Reverse","A","Converts to uppercase"
"Libraries & Methods","append()?","Add element","Delete element","Sort","Reverse","A","Adds item"

"Databases","Database is?","Data storage","Loop","Array","Function","A","Stores data"
"Databases","Table contains?","Rows & columns","Loops","Functions","Variables","A","Structured data"
"Databases","Primary key?","Unique identifier","Duplicate","Loop","Function","A","Identifies record"
"Databases","SQL is?","Query language","Loop","IDE","Library","A","Used for databases"
"Databases","Record is?","Row","Column","Loop","Function","A","Row of data"

"Cloud Computing","Cloud means?","Internet servers","Local PC","USB","CD","A","Data stored online"
"Cloud Computing","Example?","Google Drive","Notepad","Calculator","Paint","A","Cloud service"
"Cloud Computing","Advantage?","Remote access","Slow","Offline only","Limited","A","Accessible anywhere"
"Cloud Computing","Service type?","SaaS","PaaS","IaaS","All","D","All are types"
"Cloud Computing","Cloud storage?","Online storage","Hard drive","RAM","CPU","A","Stored online"

"Programming Ethics","Ethics means?","Moral rules","Code","Loop","Array","A","Guidelines for behavior"
"Programming Ethics","Respect privacy?","Yes","No","Sometimes","Never","A","Always respect privacy"
"Programming Ethics","Open source means?","Free code","Closed code","Hidden code","Private","A","Accessible code"
"Programming Ethics","Integrity means?","Honesty","Cheating","Copying","Ignoring","A","Being honest"
"Programming Ethics","Responsibility?","Own code","Ignore code","Delete code","Hide code","A","Take ownership"

"Cybersecurity","Threat is?","Risk","Loop","Array","Function","A","Threat is danger"
"Cybersecurity","Malware is?","Harmful software","Safe software","Loop","Function","A","Malicious program"
"Cybersecurity","Phishing is?","Fake emails","Real emails","Loop","Array","A","Scam messages"
"Cybersecurity","Strong password?","Complex","Simple","Short","None","A","Must be strong"
"Cybersecurity","Data privacy?","Protect data","Share data","Delete data","Ignore data","A","Keep info safe"
